0*,0,5,0.00,0,0,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
DNB,-,-,-,-,-,,v England,Kochi,15 Jan 2013,ODI # 3320
DNB,-,-,-,-,-,,v England,Ranchi,19 Jan 2013,ODI # 3322
DNB,-,-,-,-,-,,v England,Mohali,23 Jan 2013,ODI # 3327
1,1,6,16.66,0,0,,v England,Dharamsala,27 Jan 2013,ODI # 3329
0,0,1,0.00,0,0,,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
DNB,-,-,-,-,-,,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
6*,6,1,600.00,0,1,,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
DNB,-,-,-,-,-,,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
DNB,-,-,-,-,-,,v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
DNB,-,-,-,-,-,,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
DNB,-,-,-,-,-,,v Australia,Ranchi,23 Oct 2013,ODI # 3422
DNB,-,-,-,-,-,,v Australia,Nagpur,30 Oct 2013,ODI # 3424
DNB,-,-,-,-,-,,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
DNB,-,-,-,-,-,,v West Indies,Kochi,21 Nov 2013,ODI # 3436
DNB,-,-,-,-,-,,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
DNB,-,-,-,-,-,,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
0,0,4,0.00,0,0,,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
8,8,14,57.14,0,0,,v South Africa,Durban,8 Dec 2013,ODI # 3443
TDNB,-,-,-,-,-,,v South Africa,Centurion,11 Dec 2013,ODI # 3444
7*,7,4,175.00,1,0,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
1*,1,1,100.00,0,0,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
2,2,7,28.57,0,0,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
DNB,-,-,-,-,-,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
14*,14,15,93.33,0,1,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
DNB,-,-,-,-,-,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
14*,14,7,200.00,0,2,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
0,0,3,0.00,0,0,,v Pakistan,Dhaka,2 Mar 2014,ODI # 3479
DNB,-,-,-,-,-,,v Afghanistan,Dhaka,5 Mar 2014,ODI # 3483
DNB,-,-,-,-,-,,v England,Cardiff,27 Aug 2014,ODI # 3517
DNB,-,-,-,-,-,,v England,Nottingham,30 Aug 2014,ODI # 3520
DNB,-,-,-,-,-,,v England,Birmingham,2 Sep 2014,ODI # 3523
0,0,2,0.00,0,0,,v England,Leeds,5 Sep 2014,ODI # 3525
19,19,17,111.76,2,1,,v West Indies,Kochi,8 Oct 2014,ODI # 3531
1*,1,1,100.00,0,0,,v West Indies,Delhi,11 Oct 2014,ODI # 3533
DNB,-,-,-,-,-,,v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
2*,2,3,66.66,0,0,,v Australia,Melbourne,18 Jan 2015,ODI # 3582
1,1,7,14.28,0,0,,v England,Brisbane,20 Jan 2015,ODI # 3586
DNB,-,-,-,-,-,,v Australia,Sydney,26 Jan 2015,ODI # 3592
25,25,18,138.88,3,1,,v England,Perth,30 Jan 2015,ODI # 3595
3*,3,3,100.00,0,0,,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
4*,4,5,80.00,1,0,,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
DNB,-,-,-,-,-,,v West Indies,Perth,6 Mar 2015,ODI # 3625
DNB,-,-,-,-,-,,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
DNB,-,-,-,-,-,,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
DNB,-,-,-,-,-,,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
1*,1,1,100.00,0,0,,v Australia,Sydney,26 Mar 2015,ODI # 3645
1,1,2,50.00,0,0,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
DNB,-,-,-,-,-,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
6*,6,6,100.00,1,0,,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
