54,54,60,90.00,4,0,,v Zimbabwe,Lahore,31 May 2015,ODI # 3653
25,25,30,83.33,3,0,,v Sri Lanka,Dambulla,11 Jul 2015,ODI # 3664
12,12,19,63.15,1,0,,v Sri Lanka,Pallekele,15 Jul 2015,ODI # 3669
62*,62,62,100.00,2,4,,v England,Abu Dhabi,11 Nov 2015,ODI # 3707
4,4,6,66.66,0,0,,v England,Abu Dhabi,13 Nov 2015,ODI # 3708
22,22,30,73.33,2,0,,v England,Sharjah,17 Nov 2015,ODI # 3710
51,51,51,100.00,5,1,,v England,Dubai (DSC),20 Nov 2015,ODI # 3712
62,62,76,81.57,6,0,,v New Zealand,Wellington,25 Jan 2016,ODI # 3728
83,83,77,107.79,10,1,,v New Zealand,Auckland,31 Jan 2016,ODI # 3730
29,29,29,100.00,2,0,,v Ireland,Dublin (Malahide),18 Aug 2016,ODI # 3767
40,40,42,95.23,4,0,,v England,Southampton,24 Aug 2016,ODI # 3770
30,30,33,90.90,5,0,,v England,Lord's,27 Aug 2016,ODI # 3771
9,9,19,47.36,0,0,,v England,Nottingham,30 Aug 2016,ODI # 3773
12,12,21,57.14,0,0,,v England,Leeds,1 Sep 2016,ODI # 3775
31,31,29,106.89,6,0,,v England,Cardiff,4 Sep 2016,ODI # 3777
120,120,131,91.60,8,3,,v West Indies,Sharjah,30 Sep 2016,ODI # 3784
123,123,126,97.61,9,1,,v West Indies,Sharjah,2 Oct 2016,ODI # 3788
117,117,106,110.37,8,1,,v West Indies,Abu Dhabi,5 Oct 2016,ODI # 3789
33,33,46,71.73,3,0,,v Australia,Brisbane,13 Jan 2017,ODI # 3817
34,34,49,69.38,5,0,,v Australia,Melbourne,15 Jan 2017,ODI # 3818
84,84,100,84.00,4,1,,v Australia,Perth,19 Jan 2017,ODI # 3820
31,31,39,79.48,4,0,,v Australia,Sydney,22 Jan 2017,ODI # 3822
100,100,109,91.74,7,1,,v Australia,Adelaide,26 Jan 2017,ODI # 3826
13,13,21,61.90,0,0,,v West Indies,Providence,7 Apr 2017,ODI # 3861
125*,125,132,94.69,7,3,,v West Indies,Providence,9 Apr 2017,ODI # 3862
16,16,22,72.72,3,0,,v West Indies,Providence,11 Apr 2017,ODI # 3863
8,8,12,66.66,1,0,,v India,Birmingham,4 Jun 2017,ODI # 3878
31*,31,51,60.78,4,0,,v South Africa,Birmingham,7 Jun 2017,ODI # 3881
10,10,18,55.55,1,0,,v Sri Lanka,Cardiff,12 Jun 2017,ODI # 3888
38*,38,45,84.44,2,1,,v England,Cardiff,14 Jun 2017,ODI # 3889
46,46,52,88.46,4,0,,v India,The Oval,18 Jun 2017,ODI # 3894
103,103,131,78.62,5,0,,v Sri Lanka,Dubai (DSC),13 Oct 2017,ODI # 3922
101,101,133,75.93,6,0,,v Sri Lanka,Abu Dhabi,16 Oct 2017,ODI # 3924
30,30,39,76.92,1,0,,v Sri Lanka,Abu Dhabi,18 Oct 2017,ODI # 3926
69*,69,101,68.31,5,0,,v Sri Lanka,Sharjah,20 Oct 2017,ODI # 3927
DNB,-,-,-,-,-,,v Sri Lanka,Sharjah,23 Oct 2017,ODI # 3930
0,0,1,0.00,0,0,,v New Zealand,Wellington,6 Jan 2018,ODI # 3946
10,10,17,58.82,2,0,,v New Zealand,Nelson,9 Jan 2018,ODI # 3947
8,8,28,28.57,1,0,,v New Zealand,Dunedin,13 Jan 2018,ODI # 3949
3,3,9,33.33,0,0,,v New Zealand,Hamilton,16 Jan 2018,ODI # 3953
10,10,21,47.61,2,0,,v New Zealand,Wellington,19 Jan 2018,ODI # 3957
